company,location,salary,title
"

        Universal Orlando","Orlando, FL",Unknown,Data Scientist
"
        JP Morgan Chase","Columbus, OH",Unknown,Marketing Data Mining Scientist
"
        ENGIE North America Inc.","Houston, TX",Unknown,Data Scientist Intern (2257)
"
        ARROW SOLUTIONS","Tampa, FL",Unknown,Data Scientist
"
        Verveba Analytics","Richardson, TX",Unknown,Data Scientist
"
        CDK Global","Austin, TX",Unknown,Data Scientist III
"
        Liquidnet","St. Louis, MO",Unknown,Junior Data Scientist/Quant Developer | Prattle Analytics Technology
"
        Concur Technologies","Bellevue, WA",Unknown,Data Scientist
"
        iHeartMedia, Inc.","San Antonio, TX",Unknown,"Data Scientist, Operations Research"
"
        Applus","Sugar Land, TX",Unknown,Data Scientist
"
        University of California - Irvine","Irvine, CA",Unknown,Data Scientist
"
        firstPRO 360","Atlanta, GA",Unknown,Data Scientist
"
        Infobahn Softworld","Helena, MT","


                            $80 - $90 an hour

",Data Scientist
"
        Envision LLC","San Francisco, CA",Unknown,Data Scientist - San Francisco-Intermediate
"
        Tractor Supply Company","Brentwood, TN",Unknown,Marketing Data Science Analyst (SQL/Python/Tableau/Alteryx)
"
        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"
        Event Dynamic","Dallas, TX",Unknown,Data Engineer
"
        Colgate-Palmolive","Piscataway, NJ",Unknown,Data Scientist
"

        Verizon","Irvine, CA",Unknown,Data Scientist
"

        SciTec","Boulder, CO",Unknown,Junior Data Scientist
"

        Whole Foods Market","Austin, TX",Unknown,Senior Data Scientist
"

        Imprimis Group","Dallas, TX","


                            $62.50 an hour

",Data Scientist
"

        Walmart","Plano, TX",Unknown,"Director, Data Scientist - Technology"
"

        NextEra Energy","Miami, FL",Unknown,Associate Data Scientist
"

        Lawrence Livermore National Laboratory","Livermore, CA",Unknown,Data Scientist - Early Career
"

        Teacher Retirement System of Texas","Austin, TX",Unknown,Data Engineer – Warehouse and B.I.
"

        Dyson","Ann Arbor, MI",Unknown,Data Scientist
"

        Green Dot Corporation","Pasadena, CA",Unknown,Data Scientist
"

        Tier2Tek","Denver, CO",Unknown,Data Scientist
"

        Big Fish Games","Seattle, WA",Unknown,Senior Data Analyst
"

        Jobot","Spokane, WA","


                            $80,000 - $180,000 a year

",Data Scientist
"

        Invicro","Boston, MA",Unknown,Senior Data Scientist
"

        Boxy Charm","Pembroke Pines, FL",Unknown,Data Scientist
"
        Lantern Pharma","Newark, NJ","


                            $80,000 - $85,000 a year

",Senior Data Scientist
"

        eBay Inc.","Austin, TX",Unknown,Sr. Data Scientist
"

        Symphony Health Solutions",United States,Unknown,Data Scientist 2
"

        University of California San Francisco","San Francisco, CA",Unknown,Data Scientist
"

        Walmart","Bentonville, AR",Unknown,Data Scientist
"
        Very",Remote,Unknown,Senior Data Scientist
"
        Duolingo University Programs","Pittsburgh, PA",Unknown,"Data Scientist, New Graduate (2020)"
"

        California State University","San Jose, CA",Unknown,Data Scientist
"

        Booz Allen Hamilton","Washington, DC",Unknown,Data Scientist
"
        ANALYTOS",United States,Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Data Integrity Analyst (Data Scientist)
"

        Billy Casper Golf","Reston, VA",Unknown,Data Scientist
"

        USAA","Plano, TX",Unknown,Data Scientist Senior
"

        Advance America","Spartanburg, SC",Unknown,Data Scientist
"

        ECLIPSE GAMING SYSTEMS","Atlanta, GA",Unknown,Sr. Data Analyst
"

        Pilot Flying J","Knoxville, TN",Unknown,Senior Data Scientist
"

        StataCorp","College Station, TX",Unknown,Statistician and Communications Specialist
"

        Prestige Staffing","Manhattan, NY","


                            $130,000 - $140,000 a year

",Data Scientist
"

        Nike","Beaverton, OR",Unknown,Data Science Internship
"
        In-Depth Genomics","Bellevue, WA",Unknown,Data Scientist
"

        Transamerica","Denver, CO",Unknown,Data Scientist - Bioinformatics
"
        LotaData",United States,Unknown,Data Scientist
"

        The Home Depot","Austin, TX",Unknown,Data Scientist - BlackLocus
"
        UNITED STATES SOCCER FEDERATION 1","Chicago, IL",Unknown,Data Scientist
"

        Talking Rain Beverage Company","Issaquah, WA",Unknown,Data Scientist
"

        Walmart eCommerce","San Bruno, CA",Unknown,FY20 Intern Conversion: Data Scientist
"
        Kognetics","Gahanna, OH","


                            $85,000 a year

",Data Scientist
"

        Transamerica","Denver, CO",Unknown,Data Scientist
"

        DriveTime Automotive Group, Inc.","Tempe, AZ",Unknown,Data Scientist
"

        Jobot","New York, NY","


                            $100,000 - $150,000 a year

","Data Scientist - Python, R, SQL"
"

        ITL USA","Richardson, TX",Unknown,Associate Data Scientist
"
        Nabler (Fortune 500 client)","Charlotte, NC","


                            $100,000 - $140,000 a year

",Data Scientist (PhD Statistics ONLY)
"

        Noblis","Reston, VA",Unknown,Data Scientist (Telework Available)
"

        Beyond Limits","Glendale, CA",Unknown,Associate Data Scientist
"

        ExtraHop Networks, Inc.","Seattle, WA",Unknown,Data Scientist
