company,location,salary,title
"

        Just Auto Insurance","Los Angeles, CA","


                            Up to $160,000 a year

",Senior Data Scientist
"
        Continental Finance Company, LLC","Wilmington, DE",Unknown,Data Scientist
"

        Indeed","Austin, TX","


                            $130,000 - $162,000 a year

","Senior Data Scientist, Product - Resume Search"
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        Swing Education","San Mateo, CA",Unknown,Associate Data Scientist
"
        PrecisionGx",Remote,Unknown,Data Scientist
"

        HP","San Diego, CA",Unknown,Data Scientist Intern - Pricing Strategy and Analytics
"

        Nike","New York, NY",Unknown,Associate Data Scientist SNKRS
"
        Duolingo","Pittsburgh, PA",Unknown,"Data Scientist, New Graduate (2020)"
"
        Zelus Analytics","Austin, TX","


                            $110,000 - $140,000 a year

",Senior Data Scientist - Sports
"

        Kaplan",Remote,Unknown,Data Scientist
"

        Strike Social","Chicago, IL",Unknown,Data Scientist (Entry Level)
"

        DELL","Austin, TX",Unknown,Data Scientist
"
        1Thread",United States,Unknown,Data Scientist
"

        Amazon.com Services, Inc.","Austin, TX",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist / Economist
"

        CSL Behring","Kankakee, IL",Unknown,Data Analytics Scientist
"
        RegLab","Stanford, CA",Unknown,Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist
"

        Trinity Solar","Monmouth County, NJ",Unknown,Data Scientist
"

        Metron, Inc.","Reston, VA",Unknown,Data Scientist
"
        Tredence Inc.","Seattle, WA","


                            $100,000 - $130,000 a year

",Data Scientist / Data Analytics
"

        Gap International","Springfield, PA",Unknown,Data Scientist
"

        NBCUniversal","Beverly Hills, CA",Unknown,Data Scientist
"

        Texas Commission on Environmental Quality","Austin, TX","


                            $4,301 - $4,745 a month

",Chemical Data Scientist
"

        Fareportal Inc.","New York, NY",Unknown,Junior Machine Learning Engineer / Data Scientist
"
        Smartlocating Corporation",United States,Unknown,Data Scientist / Analyst
"

        EAB","Washington, DC",Unknown,Associate Data Scientist (Full Time Starting Summer 2020)
"

        Sony Interactive Entertainment PlayStation","San Diego, CA",Unknown,Data Scientist Intern
"

        GM Financial","Fort Worth, TX",Unknown,Data Scientist I
"

        IBM",United States,Unknown,Junior Data Scientist - Client Facing
"

        Cisco Careers","San Jose, CA",Unknown,Data Scientist (Full Time) - United States
"
        SConcept","New York, NY","


                            $75,000 - $80,000 a year

",Jr. Data Scientist
"

        ASRC Federal Holding Company","Moorestown, NJ",Unknown,Data Scientist- REMOTE
"
        AllyO","Palo Alto, CA",Unknown,Data Scientist
"
        BestReviews","San Francisco, CA",Unknown,Data Scientist
"

        Jnit Technologies","San Jose, CA",Unknown,Data Scientist
"
        Ace-stack LLC","San Jose, CA","


                            $80 an hour

",Data Analyst / Data Scientist
"

        Gap Inc.","San Francisco, CA",Unknown,Data Scientist
"
        Digitalogy","New York, NY","


                            $50 - $80 an hour

",Data Scientist
"

        IBM","Research Triangle Park, NC",Unknown,2020 Intern - Data Scientist Intern/Coop (EO&S)
"

        Booz Allen Hamilton","San Diego, CA",Unknown,"Data Scientist, Junior"
"

        W2O","Austin, TX",Unknown,Data Scientist
"

        IBM",United States,Unknown,Data Scientist
"

        Signature Science, LLC","Austin, TX",Unknown,Data Scientist
"

        CGI Group, Inc.","Arlington, VA",Unknown,Junior Data Scientist
"
        Technical Recruiting Solutions","Lafayette, IN","


                            $70,000 - $120,000 a year

",Data Scientist (Python)
"

        USAA","Plano, TX",Unknown,Data Scientist I
"
        Blue Owl","San Francisco, CA","


                            $200,000 - $350,000 a year

",Data Scientist
"

        CaptionCall","Salt Lake City, UT",Unknown,Data Scientist
"

        Solarity Credit Union","Yakima, WA","


                            $66,360 - $103,680 a year

",Senior Data Analyst
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"

        LOCKHEED MARTIN CORPORATION","Fort Worth, TX",Unknown,Data Scientist Stf
"

        Meridian Technology Group","Atlanta, GA","


                            $90,000 - $100,000 a year

",Data Scientist
"

        Zilliant","Austin, TX",Unknown,Data Scientist (Austin)
"

        Viacom","New York, NY",Unknown,Jr. Data Scientist
"
        Honey","Boulder, CO",Unknown,Data Scientist
"

        Dyson","Ann Arbor, MI",Unknown,Data Scientist
"
        Spacemaker","Boston, MA",Unknown,"Data Scientist Intern, Boston"
"

        AETNA","New York, NY",Unknown,Data Scientist - 64411BR
"
        LeanTaaS","Charlotte, NC",Unknown,Data Scientist - Santa Clara/Charlotte
"
        Nespon IT Services","Farmers Branch, TX","


                            $65 - $70 an hour

",Data Scientist
"
        Grokstream","Aliso Viejo, CA","


                            $75,000 - $100,000 a year

",Data Scientist/Machine Learning Engineer
"

        Wells Fargo","Charlotte, NC",Unknown,Data Science Full Time Associate
"
        Techprofy","Atlanta, GA","


                            $50 - $60 an hour

",Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist - Incubation Lab
"
        Goldfinch Bio","Cambridge, MA",Unknown,Computational Biologist/Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist
"
        Power Factors","Larkspur, CA",Unknown,"Data Scientist, Solar"
"

        NT Concepts","Fort Worth, TX",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $27.17 - $36.60 an hour

",Graduate Studies Program - Data Scientist
"

        Intermedia Advertising","Los Angeles, CA",Unknown,Data Scientist/Visualization Master
"

        Evolent Health","Chicago, IL",Unknown,(Entry-Level) Data Scientist
"
        Duolingo University Programs","Pittsburgh, PA",Unknown,"Data Scientist, New Graduate (2020)"
"
        Systems Soft Technologies","Orlando, FL",Unknown,Data Scientist
"

        Beyond Limits","Glendale, CA",Unknown,Associate Data Scientist
"
        Zioqu","San Diego, CA",Unknown,Data Scientist
"

        ExxonMobil","Spring, TX",Unknown,Associate Data Scientist (BS / MS)
"

        IBM",United States,Unknown,2020 Intern - Data Scientist
"

        BBVA Compass","Houston, TX",Unknown,Data Scientist/Specialist
"

        Change Research","Palo Alto, CA","


                            $90,000 - $150,000 a year

",Data Scientist
"

        Unisys","Sterling, VA",Unknown,Data Scientist
"

        Frontline Asset Strategies","Minneapolis, MN",Unknown,Data Scientist (aka Data Analyst)
"

        Best Buy","Watertown, MA",Unknown,Data Scientist
Unknown,"Franklin, TN",Unknown,Data Scientist
"

        Verizon","Denver, CO",Unknown,Data Scientist
"
        Aegis Premier Technologies","Westminster, CO",Unknown,Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        SciTec","Boulder, CO",Unknown,Junior Data Scientist
"
        Avancer Corporation","East Liberty, OH",Unknown,Data Scientist
"

        Apple","Austin, TX",Unknown,Data Scientist
"

        Builder Homesite, Inc.","Austin, TX",Unknown,Data Scientist
"
        Primary Talent Partners","New Orleans, LA","


                            $60 - $65 an hour

",Sr. Data Analyst
"
        Duolingo","Pittsburgh, PA",Unknown,"Data Scientist, Intern (2020)"
"

        Viacom",United States,Unknown,"Internships, Data Strategy/Data Science- Summer 2020"
"

        Microsoft","Redmond, WA",Unknown,Data Scientist
"

        GOAT","Los Angeles, CA",Unknown,Data Scientist
"

        Billy Casper Golf","Reston, VA",Unknown,Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Lead Data Scientist - Advanced Analytics
"

        Disney Streaming Services","New York, NY",Unknown,Data Scientist - Experimentation
"
        EDGE - Global Technology Solutions","Cambridge, MA",Unknown,Power BI Developer Data Scientist
"
        BestReviews","San Francisco, CA",Unknown,Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Data Scientist
"

        eBay Inc.","San Francisco, CA",Unknown,Revenue Modeling Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"

        UTMB","Galveston, TX","


                            $101,231 a year

",Clinical Data Scientist
"

        University of California - Irvine","Irvine, CA",Unknown,Data Scientist
"

        Government of the District of Columbia","Washington, DC","


                            $76,126 - $97,375 a year

",Data Scientist
"

        Saama Technologies Inc","West, TX",Unknown,Data Scientist
"

        Orange County Government","Orlando, FL","


                            $85,654 - $104,666 a year

",Data Scientist (Database Administrator)
"

        Zensar Technologies","Austin, TX",Unknown,Data Scientist
"

        Orange County Government, Florida","Orlando, FL","


                            $85,654 - $104,666 a year

",Data Scientist (Database Administrator)
"

        Shutterfly","Redwood City, CA",Unknown,Jr. Data Scientist
"
        DeNOVO Solutions","Aurora, CO",Unknown,Junior Data Scientist
"
        Lateral Systems INC","Atlanta, GA","


                            $60 - $70 an hour

",Senior Data Scientist
"

        Verizon","Alpharetta, GA",Unknown,Data Scientist
"

        Bloomberg","New York, NY",Unknown,Enterprise Data - Quant Researcher (Machine Learning)
"

        Porch","Seattle, WA",Unknown,Lead Data Scientist
"

        Riverside Research","Wright-Patterson AFB, OH",Unknown,Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"
        Physera",United States,Unknown,Data Scientist
"

        Discovery Communications, LLC","Bellevue, WA",Unknown,Data Scientist
"

        NXP Semiconductors","Austin, TX",Unknown,University Recruiting Campus Events - Entry Level Data Scientists
"

        Oath Inc","Champaign, IL",Unknown,Data Scientist
"

        Facebook","New York, NY",Unknown,"Data Scientist, Analytics, Intern"
"

        Optimal","Dearborn, MI",Unknown,Data Scientist Analyst
"

        Degreed",Remote,Unknown,Data Scientist
"

        Phillips 66","Houston, TX",Unknown,2020 University New Hire - Data Scientist/Analytics
"

        Beghou Consulting",United States,Unknown,Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Data & Applied Scientist
"

        Indeed","Austin, TX","


                            $157,000 - $191,000 a year

",Senior Data Scientist
"

        AEP Energy Inc","Columbus, OH",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Wells Fargo","San Francisco, CA",Unknown,Data Science Full Time Associate
"

        Tesla","Seattle, WA",Unknown,Data Scientist/Machine Learning Engineer
"

        Microsoft","Redmond, WA",Unknown,Full Time Opportunities for PhD Students or Recent Graduates: Data & Applied Sciences
"

        Apple","Santa Clara Valley, CA",Unknown,Data Integrity Analyst (Data Scientist)
"

        Google","San Francisco, CA",Unknown,"Data Scientist, Engineering"
"

        BOEING","Bellevue, WA",Unknown,Data Science & Analytics Intern (Paid) - Summer 2020
"
        Scout Clean Energy","Boulder, CO",Unknown,Data Scientist Level 1
"

        Facebook","New York, NY",Unknown,"Data Scientist, Analytics (University Grad)"
"
        Devoted Health",United States,Unknown,Data Scientist- Analytics
"

        California State University","San Jose, CA",Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Health Sensing Data Scientist
"
        Whizglobal","Irving, TX",Unknown,Data Scientist
"

        Systems Planning and Analysis","Alexandria, VA",Unknown,Data Scientist
"

        Great West Casualty Company","South Sioux City, NE","


                            $18 an hour

",Predictive Modeler Intern
"

        Charles River Laboratories","Newark, DE",Unknown,Data Review Scientist
"

        Verizon","Irving, TX",Unknown,Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Data Scientist - Team Lead
"

        Public Consulting Group","Albany, NY",Unknown,Data Scientist
"

        Big Fish Games","Seattle, WA",Unknown,Senior Data Analyst
"

        Disney Streaming Services","New York, NY",Unknown,Data Scientist - Modeling
"

        Akvelon, Inc.","Redmond, WA",Unknown,Senior Data Scientist (AP1888)
"

        Spin Systems","Charleston, SC",Unknown,Junior Data Scientist
"

        Ford Motor Company","Palo Alto, CA",Unknown,Data Scientist
"
        Romph & Pou Agency","Shreveport, LA",Unknown,DATA SCIENTIST
"

        Microsoft","Cambridge, MA",Unknown,MAIDAP Data Scientist- Students and Recent Graduates
"
        Codazen","Salt Lake City, UT","


                            $25 - $30 an hour

",Data Scientist in Applied Artificial Intelligence (Internship)
"

        Deloitte","Arlington, VA",Unknown,Jr. Data Scientist
"

        Gates Corporation","Denver, CO",Unknown,Data Scientist
"

        Dow Jones","New York, NY",Unknown,Data Scientist
"

        Siemens",United States,Unknown,Data Scientist 1
"

        Proofpoint","Sunnyvale, CA",Unknown,Data Scientist
"

        Emerald Resource Group","Columbus, OH","


                            $85,000 - $105,000 a year

",Data Scientist - Ph.D.
"

        Lockheed Martin Corporation","Milwaukee, WI",Unknown,Data Scientist Analyst
"

        Deloitte","Washington, DC",Unknown,Junior Data Scientist- Secret Clearance
"

        Battelle","Albany, OR",Unknown,Machine Learning Data Scientist
"
        Karmanos Cancer Institute","Detroit, MI",Unknown,Sr Data Analyst Full-Time/8:00am-4:30pm
"

        TRANZACT","Fort Lee, NJ","


                            $90,000 - $125,000 a year

",Senior Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"

        Epic Games","San Diego, CA",Unknown,Data Scientist
"
        Milliman, Inc.","Huntington Beach, CA",Unknown,Data Scientist Intern
"

        Civis Analytics","Houston, TX",Unknown,"Applied Data Scientist, Government"
"

        Microsoft","Redmond, WA",Unknown,Internship Opportunities for Students: Data & Applied Sciences
"

        Bank of America","New York, NY",Unknown,Data Scientist
"

        Bank of America","Charlotte, NC",Unknown,AML Data Scientist
"
        Unsupervised","Boulder, CO",Unknown,Data Scientist
"

        Beyond Finance","Santa Fe, NM",Unknown,Data Scientist
"

        Google","Seattle, WA",Unknown,"Data Scientist Intern, PhD, 2020"
"

        CSG","Greenwood Village, CO",Unknown,Data Scientist
"

        CGI Group, Inc.","Birmingham, AL",Unknown,Data Scientist
"
        Kimberly-Clark Corporation, LLC","Neenah, WI",Unknown,Data Protection Officer
"

        U-Haul","Phoenix, AZ","


                            $75,000 - $105,000 a year

",Data Scientist
"
        HVH Precision Analytics","New York, NY",Unknown,Senior Data Scientist
"

        Verizon","Denver, CO",Unknown,Data Scientist
"

        JBS USA Food Company","Greeley, CO",Unknown,QLIKSENSE DATA SCIENTIST
"
        MORSE Corp","Cambridge, MA",Unknown,Atmospheric Data Scientist
"

        Money Map Press","Baltimore, MD",Unknown,Jr. Data Scientist
"

        University of California San Francisco","San Francisco, CA",Unknown,Research Data Scientist
"

        Pacific Life","Newport Beach, CA",Unknown,Data Scientist
"

        AvMed Health Plans","Gainesville, FL",Unknown,AvMed Junior Data Scientist
"

        Metabolon","Durham, NC",Unknown,"Data Scientist, Machine Learning"
"

        1-800-Flowers","Melrose Park, IL",Unknown,Data Scientist
"

        Uber","New York, NY",Unknown,2020 PhD University Graduate - Data Scientist - Uber Eats (New York)
"

        Columbus Technologies and Services, Inc.","Pasadena, CA",Unknown,Data Scientist I - (Part-time)
"

        Spotify","New York, NY",Unknown,"Data Scientist, Marketplace – all levels"
"

        CDK Global","Austin, TX",Unknown,Data Scientist III
"

        USAA","San Antonio, TX",Unknown,Data Scientist I - Marketing
"

        Vertex Pharmaceuticals","Boston, MA",Unknown,Healthcare Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        Deloitte","Greensboro, NC",Unknown,Data Scientist - Hux
"
        Faraday Inc","Burlington, VT",Unknown,Data science frontend engineer
"

        Apple","Santa Clara Valley, CA",Unknown,Data Scientist - Batteries
"

        Hewlett Packard Enterprise","San Jose, CA",Unknown,Data Scientist Intern
"
        Spry Health","Palo Alto, CA","


                            $100,000 - $135,000 a year

",Data Scientist
"

        Informa","Dallas, TX",Unknown,Data Scientist
"

        ENGIE North America Inc.","Houston, TX",Unknown,Data Scientist Intern (2257)
"
        Source Enterprises","New York, NY",Unknown,Data Scientist
"

        Ranker","Los Angeles, CA",Unknown,Junior Data Scientist
"
        Pricesenz","Broomfield, CO",Unknown,Data Scientist
"
        Next Generation Technology Inc.","Seattle, WA",Unknown,Title: Data Analyst/Scientist
"
        Branch International","San Francisco, CA",Unknown,Data Scientist
"
        S5 Stratos","Dallas, TX",Unknown,Data Scientist/Statistician (Statistical Modeling)
"

        CVS Health","New York, NY",Unknown,Data Science Full-Time Student Opportunity (Graduate)
"

        Pilot Flying J","Knoxville, TN",Unknown,Senior Data Scientist
"

        Verizon","Morristown, NJ",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Invicro","Boston, MA",Unknown,Senior Data Scientist
"
        RMDS Lab, Inc","Pasadena, CA",Unknown,Data Scientist
"

        Wish","Seattle, WA",Unknown,Data Scientist
"
        RISIRISA","New York, NY",Unknown,Data Scientist
"

        NBCUniversal","New York, NY",Unknown,"Data Science Spring 2020 Internships – New York, NY"
"

        Specialized Bicycle Components","Morgan Hill, CA",Unknown,Data Scientist
"

        DICK'S Sporting Goods","Coraopolis, PA",Unknown,Data Scientist
"
        Clarigent Health","Mason, OH","


                            $90,000 - $120,000 a year

",Data Scientist
"
Data Quantist","Austin, TX",Unknown,Data Scientist
"

        HP","Aguadilla, PR",Unknown,Data Scientist
"

        Valiant Integrated Services","Camp Smith, HI",Unknown,Data Scientist
"

        GTN Technical Staffing","Tempe, AZ","


                            $113,000 a year

",Liquidity Data Scientist
"
        Fortune 500 client of Nabler","Burbank, CA","


                            $100,000 - $160,000 a year

",Senior Data Scientist - Advanced Analytics (763882)
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"

        Realtor.com","Santa Clara, CA",Unknown,Staff Data Scientist
"

        Shelter Insurance","Columbia, MO","


                            $43,735 - $63,677 a year

",Say Insurance Data Analyst
"

        Advance America","Spartanburg, SC",Unknown,Data Scientist
"

        CGI Group, Inc.","Fairfax, VA",Unknown,Data Scientist Opportunity
"
        Accolite, Inc.","Plano, TX",Unknown,Data Scientist
"
        AvantStay","Los Angeles, CA","


                            $80,000 - $100,000 a year

",Data Scientist
"

        Accenture","Washington, DC",Unknown,Federal - Data Scientist
"

        VF Corporation","Denver, CO",Unknown,Data Scientist
"

        Opendoor","Los Angeles, CA",Unknown,Data Scientist (Analytics)
"

        the NBA","New York, NY",Unknown,"Data Scientist, Basketball Integrity"
"

        VF Corporation","Costa Mesa, CA",Unknown,Vans Associate Data Scientist
"

        Zillow Group","Seattle, WA",Unknown,"Data Scientist, Zillow Offers"
"

        Whole Foods Market","Austin, TX",Unknown,Senior Data Scientist
"

        Syngenta","Chicago, IL",Unknown,Data Scientist
"

        Verizon","Ashburn, VA",Unknown,Data Scientist
"

        Enterprise Holdings","St. Louis, MO",Unknown,Data Scientist Senior
"

        UCLA Health","Los Angeles, CA",Unknown,Health Analytics Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        CGI Group, Inc.","Baltimore, MD",Unknown,Data Scientist
"
        ANALYTOS",United States,Unknown,Junior Data Scientist
"

        ExtraHop Networks, Inc.","Seattle, WA",Unknown,Intern Data Scientist
"

        Change Research","Palo Alto, CA","


                            $90,000 - $150,000 a year

",Data Scientist - Natural Language Processing
"

        SparkCognition","Austin, TX",Unknown,Data Scientist
"
        BerlandTeam","New York, NY",Unknown,Junior Data Scientist
"

        SAIC","Houston, TX",Unknown,NASA SMAEC Data Scientist
"
        nFolks Ltd","Dallas, TX",Unknown,"Data Scientist -Dallas, TX"
"

        University Hospitals","Mayfield Heights, OH",Unknown,Data Scientist
"

        Transamerica","Denver, CO",Unknown,"Internship - Data Scientist, Denver CO (Summer 2020)"
"
        Qualia Investments","New York, NY","


                            $100,000 - $135,000 a year

",Data Scientist
"

        Allstate","Northbrook, IL",Unknown,Risk Analytics Data Scientist
"
        CI Software","Vicksburg, MS","


                            $55 - $105 an hour

",Data Analytics / HPC / Computational Data Scientist
"

        Noblis","Reston, VA",Unknown,Data Scientist (Telework Available)
"

        Boxy Charm","Pembroke Pines, FL",Unknown,Data Scientist
"
        Nabler (Fortune 500 client)","Charlotte, NC","


                            $100,000 - $140,000 a year

",Data Scientist (PhD Statistics ONLY)
"
        Event Dynamic","Dallas, TX",Unknown,Data Engineer
"

        Colgate-Palmolive","Piscataway, NJ",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Sierra Nevada Corporation","Herndon, VA",Unknown,Data Scientist I
"

        Starbucks","Seattle, WA",Unknown,"data scientist, Insights & Analytics - Seattle, WA"
"

        SAP","Bellevue, WA",Unknown,Data Scientist
"
        ISE Data Systems","Reston, VA",Unknown,Data Scientist
"

        Chan Zuckerberg Initiative","Redwood City, CA",Unknown,"Data Scientist, Education"
"

        Zillow","Seattle, WA",Unknown,Data Scientist - Intern
"

        Jet Propulsion Laboratory","La Cañada Flintridge, CA",Unknown,Data Scientist I
"
        Sentar, Inc.","Honolulu, HI",Unknown,Intelligence/ Data Scientist Level 1
"

        Polaris Industries","Minneapolis, MN",Unknown,Data Scientist
"

        University of North Texas","Denton, TX",Unknown,Data Scientist
"

        Google","Mountain View, CA",Unknown,"Data Scientist, PhD University Graduate, 2020 Start"
"
        Systech Corp","New York, NY",Unknown,Data Scientist
"

        ITL USA","Richardson, TX",Unknown,Associate Data Scientist
"

        Internal Data Resources","Sandy Springs, GA",Unknown,Data Scientist
"

        Insurity","Denver, CO",Unknown,Data Scientist
"

        Verizon","Denver, CO",Unknown,Data Scientist
"

        Wayfair","Boston, MA",Unknown,Machine Learning Data Scientist
"

        Paylocity",Remote,Unknown,Data Scientist
"
        Teqweave Solutions","Charlotte, NC","


                            $60 - $75 an hour

",SR Data Analyst with strong hadoop
"

        USAA","Plano, TX",Unknown,Data Scientist Senior
"
        Tekcogono","Jersey, GA",Unknown,Data Scientist
"
        Hire IT People","Raleigh, NC",Unknown,Sr. Data Scientist
"

        Waystar","Boston, MA",Unknown,Data Scientist
"

        LexisNexis","Raleigh, NC",Unknown,Data Scientist I
"

        Jo-Ann Fabric and Craft Stores","Hudson, OH",Unknown,Data Scientist
"
        JOIN Inc.","Carson City, NV","


                            $20.87 an hour

",Data Scientist - 30 hours per week
"

        Sam's Club","Bentonville, AR",Unknown,Data Scientist - Sam's Club Technology (a division of Walmart)
"
        Beyond Outsourcing Inc.","Atlanta, GA",Unknown,Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Data Scientist
"

        Applus","Sugar Land, TX",Unknown,Data Scientist
"
        Infobahn Softworld","Helena, MT","


                            $80 - $90 an hour

",Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"

        Urban Air Trampoline Park","Grapevine, TX",Unknown,Data Scientist
"

        Martin Luther King, Jr. Community Hospital","Los Angeles, CA",Unknown,Data Scientist Population Health
"
        GovStrive LLC","Atlanta, GA",Unknown,Data Scientist I
"

        CACI","Chantilly, VA",Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,SWE Data Scientist
"
        Butterfly Network","New York, NY",Unknown,Data Scientist
"

        Oklahoma City Thunder","Edmond, OK",Unknown,Analyst Intern - Data Science & Solutions
"
        LotaData",United States,Unknown,Data Scientist
"

        ViaSat","Carlsbad, CA",Unknown,Industrial Engineer University Grad - Data Scientist
"
        TechMileage Software Solutions","Long Beach, CA",Unknown,Data Scientist
"

        Humana","Boston, MA",Unknown,Data Science / Business Intelligence / Informatics
"

        Humana","Boston, MA",Unknown,Cognitive/Machine Learning - Data Scientist
